title_id,movie,drama,animation,2nd,num_extended,extended,novel_original,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
758660,0,0,0,0,0,0,0,네버엔딩달링,울리,2,89,1,15,1401,139119,가능 기술 끊임 나르다 친구 반복 발견 벗어나다 복제 산업 생명 시대 시체 연애 연장 윤하 죽다 중이 취준생 하임,스릴러 sf,8131.4,9.95,8836.2,388.6,3192.77
813625,0,0,0,0,0,0,0,내가 사랑한 물고기,"우주봄봄,부발",5,61,1,12,632,150254,곤란 깨닫다 놓치다 닿다 등장 로맨스 막히다 솔로 반응 사랑 살아 손길 수상한 슬프다 씩씩 어딘가 올라 외로워 이성 이후 인어 자꾸만 자발 좋다 털다,로맨스 감성적인 현대 청춘 명랑녀 로맨틱코미디 러블리 재벌 세계관 힐링 청춘로맨스 인외존재 까칠남,11125,9.93,8495.6,416.2,2180.81
630386,0,0,0,0,0,0,0,인챈트-나람이야기,자유,6,134,1,0,3947,78355,걸어 그릇 우리 이상,판타지,8817.6,9.96,24600,4052.4,6531.32
632705,0,0,0,0,0,0,0,딥(DEEP),"토우,김태헌",3,46,1,15,3925,102611,가족 돌아 드라마 마지막 미스터리 실종 예측 불가 우리 호러,스릴러,8386.4,9.97,26696.8,3367,5517.32
758666,0,0,0,0,0,0,0,꼬리잡기,바쉬,1,108,1,15,1398,266917,명의 가까스로 구조 대상 대학생 대한 드러나다 발견 사건 사고 사망 살인자 상태 생존자 수상작 숨다 시작 의식 불명 정황 지상 최대 공모전 처음 파헤치다,스릴러 범죄 서바이벌 2020 지상최대공모전 서스펜스 두뇌싸움,14401.8,9.95,14717.6,836.4,4699.19
777194,0,0,0,0,0,0,0,화가 살리에르,백원달,4,38,1,15,1382,52847,가난 관장 희다 닮다 떠나다 무명 화가 미술 시간 시기 얼굴 얽히다 설킨 예쁘다 우수 유명 이용 재능 조종 짝사랑 흐르다,드라마 2020 지상최대공모전 직업드라마,4167.6,9.91,4895,317,1892.53
802940,0,0,0,0,0,0,0,행성인간2: 행성의,조석,23,61,1,15,892,54529,걸리다 끝나다 능력 멈추다 부르다 부터 생겨나다 수습 영역 움직 유니버스 이어지다 플루 일행 정해지다 조석 조의 존재 퍼지다 해결 행성,스릴러,5645.4,9.96,6590.6,412,1535.94
732071,0,0,0,0,0,0,0,가령의 정체불명 이야기,가령,3,25,1,15,2090,34130,걸어 내다 사라지다 시작 연기 우리 인어 판타지 회색,드라마 최강자전 2018,9765,9.96,12810.33,694.33,5128.96
785260,0,0,0,0,0,0,0,배달의 신,"명랑,신얼",9,81,1,0,1260,62600,개념 달다 돌아 리사 맛집 배달 셰프 소꿉친구 이자 시작 신의 아들 알아주다 이승 쫓겨나다 행복,드라마 음식&요리,9414,9.94,8447.6,525.2,1478.99
829965,0,0,0,0,0,0,0,늙은 아버지의 나날,홍연식,1,17,1,0,235,15588,과거 남다 노년 늙다 대화 동행 짚다 병원 보내다 부자 숨다 시간 심리 아들 아버지 아이 애쓰다 어색 이자 요양원 유일 짧다 현재 화해,드라마 성장물 성장드라마 감성드라마,1465.6,9.96,1945.4,196,509.79
726091,0,0,0,0,0,0,0,오일머니,"정하용,펜촉",4,80,1,15,2235,49692,기름 대한민국 범죄 액션 훔치다,드라마,6755.2,9.94,8756.6,620.4,1885.68
675474,0,0,0,0,0,0,0,아이소포스 3부,"김양수,도가도",18,1,1,12,3356,17914,부로 돌아 바꾸다 운명 이솝 이솝우화,무협/사극,7013,9.89,17864,2444,1593.73
26108,0,0,0,0,0,0,0,언더프린,브림스,3,343,1,12,6216,279483,가장 가족 사투 시작 의미 지키다,판타지,7476.6,9.96,24979.2,8174.6,3303.71
710756,0,0,0,0,0,0,0,일진에게 회초리,유승연,2,26,1,15,2553,125786,세기 가르치다 가장 고등학생 급식 난무 떠나다 불량 빙의 세종 앞두다 위대 정이 조선시대 조선 훈민정음,액션 블루스트링,28781.33,9.94,35878.67,2815,14457.64
563784,0,0,0,0,0,0,0,뱀파이어,오세형,3,71,1,15,4352,66879,공존 꾸다 둘러싸다 드라마 뱀파이어 액션 우리 제어 처음,판타지,1953,9.91,27493.8,3811,3256.63
785253,0,0,0,0,0,0,1,이별 후 사내 결혼,"미믹,이달리.",9,68,1,15,1251,183331,결혼 공식 나타나다 대기업 만인 바라 바람 부서 빠지다 사내 상대 신입사원 부터 유정 이상형 충격 커플 탄탄 태현 장님 고요 헤어지다,로맨스 오피스로맨스 사내연애 소설,8549.6,9.93,8443.8,338.4,3449.07
792125,0,0,0,0,0,0,0,로맨틱 태평수산,이일공,3,63,1,0,1129,41293,갖추다 결혼 길거리 나앉다 남다 남편 누가 능력 독립 통보 둔갑 마르다 마을 목격 물고기 보이 부잣집 상속 신작 외동딸 유일 이상 일보 작가 장면 젊은이 직전 태평 후보,로맨스,3068.8,9.95,3031,127.4,721.25
742889,0,0,0,0,0,0,0,노력의 결과,악파,2,32,1,0,1874,115741,사수 시험 아버지 완벽 주의 이번 자라다 재경 전교,스릴러 서스펜스,13531,9.96,11525.6,1422,7362.87
645129,0,0,0,0,0,0,0,워킹히어로,"이상신,국중록",11,50,1,0,3767,17729,고통 괴물 로부터 괴상 구원 나서다 도시 브랜드 영웅 이상신 작가 컨텐츠 한화 케미칼,액션 히어로 무료,3584.8,9.93,11172.6,2492.6,5073.75
783769,0,0,0,0,0,0,1,내 남편과 결혼해줘,"LICO,성소작",33,69,1,15,1284,934690,결혼 해주다 그것 기구 기적 나르다 남편 넘기다 다짐 대신 돌아 모자라 미래 바꾸다 바람 수민 시궁창 시한 부인 운명 절친 죽다 지원,로맨스 재벌 다정남 후회물 고자극로맨스 회귀 선결혼후연애 사내연애 소설,35624.8,9.95,29622.4,1498,7124.39
766966,0,0,0,0,0,0,0,태시트,김다찌,1,86,1,12,1537,85934,내뿜는 높다 드러내다 뛰어나다 마을 모습 무너지다 묻히다 바이러스 박사 빠지다 사건 서서히 시작 실종 아미 오염 물질 자라다 적응 절망 좀비 태어나다,액션 2020 지상최대공모전,8323.8,9.85,7968.6,538.2,2073.99
25613,0,0,0,0,0,0,0,생활의참견,김양수,15,1001,1,0,6307,210836,내다 발견 쉬다 웃음 유머 유쾌 일상 지나 지나치다 추억 황당 생활,일상,3193.4,9.88,11213.4,2720.6,748.99
546624,0,0,0,0,0,0,0,국립자유경제 고등학교 세실고,"양혜석,타파리",3,51,1,0,4446,136088,고등학생 동시 먹다 살기 악전 투기 입학 조건 지급 퇴학 학생,드라마 학원물 성장드라마,1777.4,9.94,32564.2,5500.2,883.35
793662,0,0,0,0,0,0,0,흔들리는 세계로부터,양담,2,33,1,0,1090,53893,달콤 동경 로맨스 바꾸다 보지 바뀌다 벌어지다 세계 시작 우리 제안 파란만장 한번,판타지 최강자전 2021 하이틴,5521.6,9.97,4309.2,201.6,1952.74
293523,0,0,0,0,0,0,0,닥터 프로스트 시즌 1~2,이종범,2,130,1,0,5210,219662,군상 다양 닥터 마음 시작 읽다 질병 천재 파헤치다 활약,드라마 명작 의학드라마,4458.8,9.94,26131.8,6006.4,1785.32
804832,0,0,0,0,0,0,0,커플브레이커,"기맹기,태건",7,82,1,12,848,324254,가라 각양각색 기존 누군가 로맨스 마르다 만남 무대 복수 브레이커 사랑 하라 시험 어떻다 연애 연인 예능 원수 유명 자리 자매 전쟁 작가 지고 진실 인기 커플 펼쳐지다 프로그램 확인 환승 히트,로맨스 리얼로맨스 자극적인 혐관 고자극로맨스 혐관로맨스 계약연애 복수극 걸크러시,15481.6,9.91,11455.6,603.6,4845.76
551648,0,0,0,0,0,0,0,오성X한음,유승진,5,148,1,0,4404,64710,추리 신작 오성 왓슨 유승진 작가 조선 한섬 세대,무협/사극 역사물,2148.8,9.94,20444.2,2490,1030.07
780267,0,0,0,0,0,0,0,오!너의 리스크,바리,1,100,1,15,1331,91242,관계 국내 기업 대기업 때문 벌어지다 법무 사원 사이 상무 알다 알려지다 위험 재벌,드라마 2020 지상최대공모전 무료,6182,9.94,6075.8,258.2,1655.49
703841,0,0,0,0,0,0,0,꽃 피는 날,두루,1,136,1,0,2680,153868,나라 대전 등교 로맨스 버스 삼각관계 수상작 시작 우수상 청춘 피다,로맨스 학원로맨스 삼각관계,25544.2,9.85,26987.2,3683.8,14233.28
780984,0,0,0,0,0,0,0,엑스트라 데이즈,아니영,4,74,1,12,1306,9730,가장 가족 완벽 친부모 하라 회사,드라마,479.6,9.91,623.2,31.8,215.28
772243,0,0,0,0,0,0,1,모스크바의 여명,"이샨오,황장미",2,130,1,0,1440,62318,걸다 기회 뜨다 로서 바뀌다 비관 사고 성별 소녀 아들 얘기 이루다 이상 저주 주신 죽음 집안 티아 피아노 피아니스트,드라마 힐링 소설,8087.8,9.89,5851,577,3791.65
507275,0,0,0,0,0,0,0,네로의 실험실,"외눈박이,시현",10,63,1,0,4608,80695,검다 기묘 둘러싸다 마법사 아가씨 펼쳐지다 환상,판타지,1361.67,9.94,40521,9376.33,1013.24
686549,0,0,0,0,0,0,0,특근,허일,4,8,1,12,3137,14408,브랜드 서막 개념 추격 액션 컨텐츠,액션 무료,5107,9.95,8519.2,1052.4,1311.82
642604,0,0,0,0,0,0,0,화이트멜로우,임진국,7,61,1,12,3801,54645,보이 레드카펫 로맨스 시트콤 신작 임진국 작가 펼쳐지다 하얗다,드라마,4318.8,9.95,11921.4,3960,2282.82
798326,0,0,0,0,0,0,0,시체기사 군터,마요너구리,3,91,1,15,1012,93618,괴물 노력 되살리다 마지막 맞이 몰리다 뱀파이어 사이 살다 선택 성공 승리 시체 기사 싸움 어떻다 예상 움직 전쟁 제작 존재 죽다 죽지,액션 자극적인 시리어스 중세 모험 크리처 판타지 인외존재 뱀파이어 다크판타지,8012.4,9.93,8091.8,505.4,1197.26
730607,0,0,0,0,0,0,0,평행도시,고다,2,150,1,15,2134,116865,극악 끔찍 도플갱어 돌아 습격 예전 찾아 펼쳐지다 세계,판타지 성장물 아포칼립스 좀비,11587.4,9.96,11984.2,627.6,4205.91
