movie,drama,animation,2nd,num_extended,extended,novel_original,title_id,title,author,author_works,episode,complete,age,days_since_start,like_count,story_cleaned,hashtag,avg_like_count,avg_star,avg_participants,avg_comment_count,avg_best_comment_like
0,0,0,0,0,0,0,818781,배니싱 트윈,가재,4,61,1,18,543,87929,공포 과도 그동안 친구 동생 따르다 막히다 먹히다 살아 순간 심지어 쌍둥이 유혹 인생 존재,스릴러 집착물 서스펜스 성인,1133.6,9.97,1467.8,36.6,421.81
0,0,0,0,0,0,0,776306,위치헌트,은성,5,60,1,18,1369,12105,가까워지다 마녀 사냥꾼 내다 무색 병사 분투 세계 세력 승리 위해 심각 안개 왕도 위협 잡다 전문 전쟁 점점 짙다 창궐,스릴러 성인,325.33,9.79,545.33,36,57.47
0,0,0,0,0,0,0,822835,나쁜 상사,네온비,4,69,1,18,417,79164,겪다 과거 로부터 광고 끔찍 나앉다 도망치다 돌려주다 들어 더미 살아 숨다 신입사원 유명 인생 지옥 파멸 시키다 회사,로맨스 고자극로맨스 복수극 성인,725,9.96,1079.8,46.8,292.34
0,0,0,0,0,0,0,742826,토끼대왕,김숭늉,6,69,1,18,1883,77704,교생 구원 살인마 왕따,스릴러 2019 지상최대공모전 성인,7109.2,9.95,10225,776.4,2535.78
0,0,0,0,0,0,0,822640,소꿉친구 컴플렉스,은하이,2,42,1,18,422,467823,겪다 결코 고난 남녀 낳다 때문 로맨스 사정 상황 생각 소꿉친구 술래잡기 시작 알다 오해 오히려 은밀 의식 이성 점점 착각 코미디 평생 하늘,로맨스 리얼로맨스 설렘폭발 능글남 나쁜 명랑녀 로맨틱코미디,18584.4,9.9,17882.6,1525.8,4445.44
0,0,0,0,0,0,0,818791,개꿈,신송림,1,65,1,18,539,209452,가지 공시생 관계 끊다 알다 알바 이자 친구 빛나다 잘생기다 재벌 주가 파트너,드라마 고자극드라마 자극적인 공감 자본주의 재벌녀 재벌 고자극로맨스 하이퍼리얼리즘 인플루언서 삼각관계 공감성수치 성인,10907.6,9.9,14114,590.4,2969.65
0,0,0,0,0,0,0,804318,죽음으로 구원하사,"고요빛,유니",9,46,1,18,862,42269,강도 공포 괴롭힘 구원 높다 누군가 다가 라며 만나다 불길 살아나다 희다 소년 순간 시작 아이 연쇄 살인마 위해 잃다 죽여주다 죽음 찍히다 친구 혼자,스릴러 2021 지상최대공모전 서스펜스 복수극 성인,3031,9.89,3005.4,195.2,909.74
0,0,0,0,0,0,0,707671,소유,한,7,69,1,18,2620,134506,결핍 사랑 스릴러 욕망 집착 파국,드라마 성인,13981.2,9.96,22489.6,1371,5579.51
0,0,0,0,0,0,0,608259,레드카펫,임진국,7,6,1,18,4132,44070,보이 레드카펫 스릴러 신작 임진국 작가 잔혹 피로,드라마 성인,553.2,9.91,4451.4,909.2,1715.19
0,0,0,0,0,0,0,805730,누가 나를 죽였을까,후,2,109,1,18,822,43953,가장 꿈속 나르다 나타나다 누가 매일 명의 미워 사랑 시작 이후 죽다 친구 현실 협력,스릴러 고자극스릴러 캠퍼스 악역이주인공 피카레스크 범죄 연예계,2509,9.9,3183.2,112,594.96
0,0,0,0,0,0,0,89098,몽타주,단우,5,32,1,18,5691,21577,기억 돌아 미스터리 범인 숨막히다 스릴러 얼굴 전직 지하철 격전 형사 호러,스릴러 성인,308,9.88,3956.8,3536.6,79.69
0,2,0,2,1,1,0,675393,한번 더 해요,"미티,구구",28,101,1,18,3354,782781,결혼 고백 부부 대학시절 드라마 만나다 지독 지치다 킹카 현실,드라마 레트로 성인,35594.33,9.74,54847.67,8981,23615.22
0,0,0,0,0,0,0,783057,소극적 인간,다쓴총,1,45,1,18,1282,41284,결심 경찰서 긍정 김돌벽 느끼다 대해 동시 둘러싸다 반복 반성 변화 부정 사이 살인 상황 세계 시작 이로 이르다 자수 저지르다 전염병 정체 죄책감 창궐 쾌락 통제 행위 후회,스릴러 성인,4076.2,9.83,5944,412.2,1782.5
0,0,0,0,0,0,0,812161,도태교실,황준호,10,91,1,18,683,85795,가해자 누명 명령 미소 소녀 소년 스토킹 쓰다 아름답다 여학생 온유 왕따 이내 일상 전학생 지옥 찾아 품다 협박,스릴러 고자극스릴러 자극적인 시리어스 악역이주인공 피카레스크 범죄,4615.2,9.92,6660.2,335.6,922.61
0,0,0,0,0,0,0,94760,악연,황준호,10,21,1,18,5670,28409,마주치다 싸이코패스,스릴러 성인,1312.4,9.91,10457.4,3699.4,512.54
0,0,0,0,0,0,0,756139,스포,이강,2,98,1,18,1597,56177,가족 감염 고등학생 괴생명체 날아 도시 돌아다니다 뛰어 머릿속 메시지 미래 붕괴 순간 습격 신작 알다 위기 위해 위험 이강 일상 작가 정체 찾기 평범,스릴러 아포칼립스 성인,6269.6,9.9,8554.4,575,1391.92
0,0,0,0,0,0,0,258205,프로젝트 X,태발,10,36,1,18,5289,23983,가지다 강인 공통점 때론 본능 이상 자기 주위 파괴,스릴러 성인,593.4,9.89,6081,2570.2,276.8
0,0,0,0,0,0,0,658823,천국의 신화,이현세,4,96,1,18,3586,53796,귀환 신화 이현세 한국 화백,무협/사극 역사물 성인 무료,5205,9.79,9987.2,1355.8,1203.23
0,0,0,0,0,0,0,137706,의령수,김우준,7,43,1,18,5555,7696,공모전 끊임 네이버 드라마 사건 수상작 우수상 일어나다 추리 풀다 한국 콘텐츠 진흥,스릴러 성인,99.4,9.88,1893.8,973.2,35.72
0,0,0,0,0,0,0,837279,하나의 연애,�H,4,38,1,18,67,116435,가볍다 내려 대학생 두다 맞다 본가 부모님 어느새다 영하 예고 자취 주말 찜질방 찾아,드라마 고자극드라마 감성적인 자극적인 고자극로맨스 하이퍼리얼리즘,1018.6,9.85,1389.8,41.2,265.29
0,0,0,0,0,0,0,829780,고자여자,루즌아,9,77,1,18,256,209575,가기 강제 고자 공감 불안 슬기 아슬아슬 아프다 청춘,드라마 리얼로맨스 자극적인 블랙코미디 고자극로맨스 하이퍼리얼리즘,3293.6,9.88,4657.8,197.6,874.11
0,0,0,0,0,0,0,661043,상중하,한,7,52,1,18,3523,181100,쌍둥이 역전 인생 처절,액션 성인,14280.4,9.94,29114.4,3897.6,8185.68
0,0,0,0,0,0,0,509093,아빠를 찾습니다,동비,2,52,1,18,4592,148508,가족 생활 부모 시작 필요 하연 현수,드라마 성인,2415.25,9.88,30670.25,7456.75,914.78
0,0,0,0,0,0,0,789428,잔인한 축제,회나리,7,58,1,18,1187,30356,벚꽃 복수 시작 아름답다 잔인 축제 핏빛 하드보일드 하루,드라마 성인,444.8,9.86,662,25.8,56.09
0,0,0,0,0,0,0,26115,고향의꽃,한,7,52,1,18,6212,10451,고통 고향 배신 벌어지다 비밀 사투 상처 얼룩지다 음모 지옥 찾아 처절,스릴러 성인,274.4,9.87,1929.8,1180,84.81
0,0,0,0,0,0,1,804163,호랑이 새끼,"552,악새,우유랑",3,45,1,18,867,239126,가게 감독 곤란 근육 기억 나름 누나 닥치다 떠오르다 린다 며칠 뭉치다 미안 미치다 살다 성공 소개 소소 알다 약속 얼떨결 여배우 연락 옆집 유명 자랑 자리 잡다 저녁 주다 초대 취해 커다랗다 타자 태호 파티 흘리다,로맨스 소설 성인,3990.8,9.95,4976.4,139.4,1033.22
0,0,0,0,0,0,0,812152,사랑니S,뉸,4,48,1,18,690,150158,경험 교양 다음 다홍 당황 스럽다 만난 맞이 모습 발견 사귀다 사랑 수업 숨기다 스무살 스킨 쉬다 연애 오빠 이어지다 키스 호기심,로맨스 캠퍼스로맨스 성인,1882.4,9.89,2115.4,79.8,621.75
0,0,0,0,0,0,0,774762,DEY 호러채널(일반판),DEY,3,47,1,18,1425,33021,작가 공포 기발 단편 데드 데이즈 돋다 무섭다 새롭다 소름 실험 옴니버스,스릴러 성인,537,9.85,746,48.8,99.27
0,0,0,0,0,0,0,719508,헬58,장성준,1,224,1,18,2363,124494,권력 다툼 배신 벌어지다 암투 약육강식 주인공 지옥 탈출 희망,액션 성인,9502,9.94,15359.6,1719.2,859.57
0,0,0,0,0,0,0,400736,초록인간,태발,10,39,1,18,4936,21662,내일 단편 신다 신작 작가 죽다 지키다 태발 파괴 프로젝트 할머니,판타지 성인,521.4,9.81,7268.8,2962.4,413.36
0,2,0,2,1,1,0,517773,방과 후 전쟁활동,하일권,15,51,1,18,4556,444158,군인 목욕 방과 삼봉이발소 신작 우리 전쟁 활동 종말 지구 하일권 학생,드라마 명작 아포칼립스 성인,4358.4,9.93,69428.6,23607,1581.15
1,0,0,1,1,1,0,747273,침범,"공세리,영영이",3,50,1,18,1734,67414,살이 느껴지다 만난 무너지다 생각 시작 잔혹 직원 청소 업체,스릴러 성인,4805.4,9.85,7021,467.2,2912.27
0,0,0,0,0,0,0,186813,증거,이승찬,4,24,1,18,5420,9037,가장 공간 이상 편안,스릴러 범죄 성인,223.2,9.88,1963.8,1148.4,42.09
0,0,0,0,0,0,1,816610,독점쾌락,"팀 새풍,팀 유삐빠,비향",3,50,1,18,602,84144,가까스로 가깝다 갖다 건지다 로부터 끊임 로서 느닷 다행 도망치다 도움 모습 목숨 불행 살해 생각 소중 양부모 어떻다 어리다 위협 유진 잃다 전부 제안 지내다 찾아,로맨스 소설 성인,612.8,9.85,800.4,38.8,134.67
